dataset,split,strategy,n_context,roc_auc,average_precision,brier_score,ece,runtime_seconds
lending_club,lc_pre_crisis,xgboost_full_pool,437,0.5368428699780277,0.12001994678609318,0.11430910746391826,0.09776185024278472,18.702736794948578
lending_club,lc_pre_crisis,random,128,0.5063870858698327,0.12396092560466818,0.10127269303338186,0.033412281310397536,0.8900410961359739
lending_club,lc_pre_crisis,random,256,0.5014218234329548,0.12237942967501425,0.1016633682533147,0.035494647788059726,0.5096663124859333
lending_club,lc_pre_crisis,random,437,0.5431706514293848,0.1349235807758567,0.10218172095753988,0.041732219234826715,0.5463472586125135
lending_club,lc_pre_crisis,random,437,0.5431706514293848,0.1349235807758567,0.10218172095753988,0.041732219234826715,0.5265909433364868
lending_club,lc_pre_crisis,most_recent,128,0.46722541312940524,0.10614929267578133,0.10212819212570465,0.04071294803437929,0.7953472472727299
lending_club,lc_pre_crisis,most_recent,256,0.4824310660265743,0.12260590904704471,0.10332177691774411,0.04453762542305654,1.153043719008565
lending_club,lc_pre_crisis,most_recent,437,0.5441758613225478,0.13519018166865193,0.1021583658288247,0.0426192274615025,1.0568084493279457
lending_club,lc_pre_crisis,most_recent,437,0.5441758613225478,0.13519018166865193,0.1021583658288247,0.0426192274615025,1.036102555692196
lending_club,lc_pre_crisis,class_balanced,128,0.5276388242305993,0.12438483604905025,0.14979916397967713,0.16202543582874915,0.889623649418354
lending_club,lc_pre_crisis,class_balanced,256,0.5373128574944476,0.13385002030234153,0.10216857657848367,0.030996584765943257,1.0172958876937628
lending_club,lc_pre_crisis,class_balanced,437,0.5433040863709551,0.1348509337908837,0.10218199260859451,0.042356883715802304,1.0499533489346504
lending_club,lc_pre_crisis,class_balanced,437,0.5433040863709551,0.1348509337908837,0.10218199260859451,0.042356883715802304,1.1462425366044044
lending_club,lc_pre_crisis,economically_similar,128,0.5695522219882992,0.14623922451689655,0.1014531155468021,0.041222187319702265,1.0528460815548897
lending_club,lc_pre_crisis,economically_similar,256,0.56602731561515,0.14173947120672545,0.100313225455633,0.02271144529643087,1.0877684615552425
lending_club,lc_pre_crisis,economically_similar,349,0.539955610642771,0.13315484250357051,0.10082735939325875,0.03077490875544116,1.1089800857007504
lending_club,lc_pre_crisis,economically_similar,349,0.539955610642771,0.13315484250357051,0.10082735939325875,0.03077490875544116,1.119992133229971
lending_club,lc_pre_crisis,high_confidence,128,0.5730452522365178,0.14384242452180981,0.13357361740113474,0.18421071887245988,1.0436305161565542
lending_club,lc_pre_crisis,high_confidence,256,0.551273117603627,0.13910456862553275,0.10054726061152988,0.027167878146346136,0.49246252700686455
lending_club,lc_pre_crisis,high_confidence,437,0.5436347085039571,0.13497298673372363,0.10216041955532648,0.042156878171169226,0.44829720444977283
lending_club,lc_pre_crisis,high_confidence,437,0.5436347085039571,0.13497298673372363,0.10216041955532648,0.042156878171169226,0.43148788809776306
lending_club,lc_pre_crisis,diverse,128,0.5648997903588806,0.14024148495024724,0.10143534786448553,0.025308963323374473,0.3852981124073267
lending_club,lc_pre_crisis,diverse,256,0.5191701532722696,0.1307382513478088,0.10300887183307882,0.0384040615921535,1.2065381687134504
lending_club,lc_pre_crisis,diverse,437,0.5443300528105847,0.13517554759937767,0.10216266766365871,0.0427098922876494,0.9381059315055609
lending_club,lc_pre_crisis,diverse,437,0.5443300528105847,0.13517554759937767,0.10216266766365871,0.0427098922876494,1.015347421169281
lending_club,lc_post_crisis,xgboost_full_pool,13526,0.6685097461291007,0.30632184198079265,0.14731653670423428,0.04696271995836063,13.726186640560627
lending_club,lc_post_crisis,random,128,0.6237363347640451,0.2765377582493553,0.15191437234312427,0.024476793430662447,27.520414726808667
lending_club,lc_post_crisis,random,256,0.6687639482557917,0.3052260891938065,0.14869267431580746,0.05393489053424947,27.945617713034153
lending_club,lc_post_crisis,random,512,0.6931364763612096,0.325902442114001,0.1451977441115284,0.04989352112214346,28.018681520596147
lending_club,lc_post_crisis,random,1024,0.6936112390103157,0.3261189008878216,0.147417362638707,0.06567542990076794,29.764807472005486
lending_club,lc_post_crisis,most_recent,128,0.5709165664929339,0.23166539742663841,0.15449166850508975,0.0383478428026676,26.825863551348448
lending_club,lc_post_crisis,most_recent,256,0.6854493514060878,0.3170030773243676,0.14415287595222145,0.02605571900333254,25.213486140593886
lending_club,lc_post_crisis,most_recent,512,0.6847119629086635,0.3153945793388717,0.14499465533518976,0.03588435907672422,30.875912815332413
lending_club,lc_post_crisis,most_recent,1024,0.6834419281663793,0.3157574441167806,0.14690453765468958,0.051157876873252406,31.345034163445234
lending_club,lc_post_crisis,class_balanced,128,0.6438468543565075,0.28659518605912915,0.2327221546695306,0.2850083725350433,27.079066820442677
lending_club,lc_post_crisis,class_balanced,256,0.6806390219840135,0.316052800909958,0.22871160207611688,0.2838830468985237,27.23870383016765
lending_club,lc_post_crisis,class_balanced,512,0.6874957686925959,0.3195171744124854,0.22755134079375214,0.28357181116010965,28.765040531754494
lending_club,lc_post_crisis,class_balanced,1024,0.6603305771305956,0.2967257192435211,0.24248230196259665,0.3002517308957194,33.48466647788882
lending_club,lc_post_crisis,economically_similar,128,0.6204763926751424,0.27850713592306037,0.14944659901830892,0.017753063642716446,24.153777515515685
lending_club,lc_post_crisis,economically_similar,256,0.6809348432335205,0.30657962341484857,0.14839032331644972,0.06704316638708978,25.667000468820333
lending_club,lc_post_crisis,economically_similar,512,0.6706217615379169,0.3170281434307052,0.1508820577758724,0.056450345779127206,27.82626336440444
lending_club,lc_post_crisis,economically_similar,1024,0.6969603578919399,0.3341101753765995,0.14353805225019214,0.04060160105361924,33.49143596738577
lending_club,lc_post_crisis,high_confidence,128,0.4299765941805706,0.1669305129506121,0.7829262703532701,0.7860444837386341,27.04275161214173
lending_club,lc_post_crisis,high_confidence,256,0.3516519816785753,0.1401537191125798,0.7828132846721882,0.7853521474600339,27.487111523747444
