dataset,split,strategy,n_requested,n_seeds,roc_auc_mean,roc_auc_ci95,average_precision_mean,average_precision_ci95,brier_score_mean,brier_score_ci95,ece_mean,ece_ci95
freddie_mac,fm_early,class_balanced,128,5,0.7080067254016875,0.01596226723773851,0.027481202610986837,0.0013434320529102108,0.18954128947130194,0.02831383442173715,0.38689720650766785,0.06990701267601193
freddie_mac,fm_early,class_balanced,256,5,0.7354490968587168,0.006329479751956185,0.03186931047781374,0.0024502822704515898,0.1727283089177855,0.02058570307865971,0.35445276555180544,0.03359626943433116
freddie_mac,fm_early,class_balanced,512,5,0.750329705254418,0.011032597994416162,0.03352958767310062,0.002594447477024074,0.16828091799919195,0.013182736158016482,0.3384792059221267,0.024606112713421446
freddie_mac,fm_early,class_balanced,1024,5,0.758610275422635,0.004266465616845945,0.037224238535596546,0.0019320475189607757,0.1600776617413387,0.008888815188113016,0.32169922284856434,0.013229206566798945
freddie_mac,fm_early,diverse,128,5,0.5062202018530685,0.10128363104683367,0.013077120757657702,0.004365827154668188,0.012639143163944919,0.001378383239342548,0.0226850258787274,0.016275953292866772
freddie_mac,fm_early,diverse,256,5,0.5404850244443974,0.09771717315580382,0.016853365798105018,0.007669980800230902,0.012953788518357979,0.001598326801483332,0.0193883394998684,0.016077772160118558
freddie_mac,fm_early,diverse,512,5,0.6353292318259152,0.08030871243615398,0.02330138423167362,0.007865109833244368,0.01190507333582834,0.00013386078700722585,0.01094750793083008,0.005803261072040233
freddie_mac,fm_early,diverse,1024,5,0.724620167021772,0.008519388725863239,0.03152524018354342,0.005601597982519848,0.011791471158067,0.00010455120572645452,0.0072095977942049,0.003494785553382348
freddie_mac,fm_early,economically_similar,128,5,0.5695340437885366,0.14318174022218771,0.017865077269942943,0.00795299193218537,0.01296442372514342,0.0008477053536748079,0.025303507964074583,0.018124884403499637
freddie_mac,fm_early,economically_similar,256,5,0.6745784754270909,0.04593138103925618,0.025249898589741082,0.005053914546315014,0.012121613125586598,0.0006108403341704724,0.014682936435960178,0.014532022935823431
freddie_mac,fm_early,economically_similar,512,5,0.6537810907357988,0.09753175242121288,0.02410376034382806,0.009898382227319667,0.012027172870170761,0.00043409384970912433,0.0117205694307014,0.005623798221809734
freddie_mac,fm_early,economically_similar,1024,5,0.7185171166478925,0.028011706017863968,0.029600641973382642,0.006130514651059165,0.011825633780562,0.0001475151164174291,0.0090633974956944,0.004754152784315408
freddie_mac,fm_early,high_confidence,128,5,0.5158189307824435,0.03217573630509984,0.014637222602751337,0.00207513524191302,0.941725043067841,0.0012673150005817558,0.9643146566028596,0.0006277297095521933
freddie_mac,fm_early,high_confidence,256,5,0.31288556234611875,0.004778310347960642,0.00782850681732776,7.653352000048892e-05,0.9193634619732082,0.0018703897296435104,0.9514207314851284,0.0010998322791895706
freddie_mac,fm_early,high_confidence,512,5,0.2719625214435263,0.002725523903291698,0.007400505994350259,3.978143036373806e-05,0.9175325345702428,0.004494954930306835,0.9488964940397739,0.0025038011489738354
freddie_mac,fm_early,high_confidence,1024,5,0.24019020142922426,0.001793182142023568,0.00708337815145174,1.9594960916423596e-05,0.8649382171682095,0.004412525121004109,0.9172287178424596,0.002618040883492856
freddie_mac,fm_early,most_recent,128,5,0.5649937557701221,0.00815017841563197,0.014789690442262781,0.00043628819559984666,0.01221127466935084,0.0004340832744141606,0.01027160004034634,0.002971768830239856
freddie_mac,fm_early,most_recent,256,5,0.6106586789701021,0.023651410938646766,0.02044880410454744,0.0013494979310745708,0.011854772446069719,0.00011349038967184344,0.00595116667949404,0.0036878909413967636
freddie_mac,fm_early,most_recent,512,5,0.7459523798850078,0.006408687709778625,0.033849085340390404,0.0017722838714138316,0.011705519436619639,2.867233714156565e-05,0.00457430377160752,0.00144515107980043
freddie_mac,fm_early,most_recent,1024,5,0.7651435853630306,0.004668736368862632,0.0390781435750061,0.0005164127143828533,0.01165691767276,9.14461570093667e-06,0.0027873139186016596,0.0015350343796750624
freddie_mac,fm_early,random,128,5,0.5695340437885366,0.14318174022218771,0.017865077269942943,0.00795299193218537,0.01296442372514342,0.0008477053536748079,0.025303507964074583,0.018124884403499637
freddie_mac,fm_early,random,256,5,0.6745784754270909,0.04593138103925618,0.025249898589741082,0.005053914546315014,0.012121613125586598,0.0006108403341704724,0.014682936435960178,0.014532022935823431
freddie_mac,fm_early,random,512,5,0.6537810907357988,0.09753175242121288,0.02410376034382806,0.009898382227319667,0.012027172870170761,0.00043409384970912433,0.0117205694307014,0.005623798221809734
freddie_mac,fm_early,random,1024,5,0.7185171166478925,0.028011706017863968,0.029600641973382642,0.006130514651059165,0.011825633780562,0.0001475151164174291,0.0090633974956944,0.004754152784315408
freddie_mac,fm_early,xgboost_full_pool,50000,5,0.7240775581848384,0.0031596409155288966,0.027065749226283402,0.001011451048256959,0.012698551398600318,8.075996200698638e-05,0.01565888091483706,0.0008609268978236147
freddie_mac,fm_early,xgboost_tuned,50000,5,0.7551750829620621,0.009956644010556494,0.03637699796669974,0.003577642339223214,0.012030237197758541,0.0001850005888706872,0.013627341771699442,0.0010935117271160108
freddie_mac,fm_late,class_balanced,128,5,0.7684478415503715,0.018199951185959688,0.02732849110966652,0.0044181565244862196,0.16281308384442236,0.033687081871864095,0.3311394546693563,0.058441100448431274
freddie_mac,fm_late,class_balanced,256,5,0.7717023998723667,0.017159187657275452,0.0260710741527878,0.002832811379099979,0.12703291619640467,0.022354471985348612,0.28923333948144314,0.023537863405887687
freddie_mac,fm_late,class_balanced,512,5,0.7754751519688592,0.019391674720963457,0.02704383615241728,0.006071277158786781,0.1350630281867665,0.02269085994322658,0.28508931931595505,0.033719612642983544
freddie_mac,fm_late,class_balanced,1024,5,0.7931662452204955,0.007708384267835994,0.0321642734446054,0.006146655539139706,0.12623380994292027,0.02592454432254063,0.2780814809829444,0.030847696805479687
freddie_mac,fm_late,diverse,128,5,0.6210224471918557,0.059895234401755246,0.0152113383822406,0.0039260821978395295,0.01005358115124386,0.001594910974484229,0.0319748361319452,0.013697013267639533
freddie_mac,fm_late,diverse,256,5,0.6752482190575486,0.059991760247943574,0.019048208829146658,0.005424592535242338,0.00887685001137338,0.00018171698670816635,0.013959468538731302,0.0050170277300748
freddie_mac,fm_late,diverse,512,5,0.7144460553549511,0.029718798145938818,0.02128004663647176,0.004612862765705504,0.00882998623061754,0.0005485641736376473,0.00956009820826718,0.009663637397168112
freddie_mac,fm_late,diverse,1024,5,0.7482469726628054,0.007895657336934415,0.02521350882573344,0.0014023583442649074,0.008664166226611718,0.00011958553333424546,0.007618368116564999,0.0038939765697515853
freddie_mac,fm_late,economically_similar,128,5,0.594232328314842,0.11025950663206549,0.01477546888957596,0.007151892813867811,0.00893021287628584,0.0004844094592631102,0.014721963421404322,0.010493790930807628
freddie_mac,fm_late,economically_similar,256,5,0.5916064899549285,0.031372759304391686,0.0131776235631517,0.0023439104612274723,0.008941352545541861,0.0005520502112820805,0.00792305665811148,0.003780074849608441
freddie_mac,fm_late,economically_similar,512,5,0.6425498860059232,0.07656509975119469,0.01705013423594284,0.006115607721916103,0.008675788664094079,0.00011275391231271525,0.00348184892552342,0.0036969506955341104
freddie_mac,fm_late,economically_similar,1024,5,0.7172229793315656,0.08263871900791443,0.023113376851178057,0.006887106972632326,0.008580117603003399,7.747741970364344e-05,0.00215734039668732,0.001256829665818965
freddie_mac,fm_late,high_confidence,128,5,0.34963252459923566,0.007817055434278197,0.00605915711691952,8.533820727318419e-05,0.9136551422989273,0.0026434365156946553,0.9497557863099575,0.0014934737734073511
freddie_mac,fm_late,high_confidence,256,5,0.3168170642838827,0.012007830155237062,0.005704740221242099,0.00010807433100516912,0.9559619839160082,0.002341424268468406,0.972323614225149,0.0014086095489148972
